Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
284:            298     11920   java.util.WeakHashMap$Entry
285:            492     11808   sun.reflect.generics.tree.SimpleClassTypeSignature
286:            363     11616   com.mysql.jdbc.JDBC4DatabaseMetaData
287:            234     11232   java.util.Hashtable
288:            348     11136   sun.misc.FDBigInteger
289:            457     10968   java.util.jar.Attributes$Name
290:            193     10808   sun.util.calendar.ZoneInfo
291:            267     10680   javax.management.MBeanOperationInfo
292:            188     10528   java.lang.invoke.MemberName
293:            655     10480   org.apache.commons.httpclient.auth.AuthChallengeProcessor
294:            435     10440   org.jsoup.nodes.BooleanAttribute
295:            213     10224   java.util.ResourceBundle$BundleReference
296:            201     9648    sun.security.x509.X500Name
297:            78      9592    java.lang.reflect.Method[]
298:            64      9536    java.beans.MethodDescriptor[]
299:            117     9360    com.mysql.jdbc.ConnectionPropertiesImpl$MemorySizeConnectionProperty
300:            492     9352    sun.reflect.generics.tree.TypeArgument[]
301:            383     9192    org.apache.http.entity.ContentType
302:            383     9192    java.util.concurrent.locks.ReentrantReadWriteLock
303:            286     9152    sun.security.x509.AlgorithmId
304:            283     9056    org.apache.commons.io.output.ByteArrayOutputStream
305:            377     9048    org.apache.http.message.BasicNameValuePair
306:            188     9024    java.util.logging.LogManager$LoggerWeakRef
307:            23      9016    com.alibaba.druid.stat.JdbcSqlStat
308:            373     8928    org.apache.http.NameValuePair[]
309:            371     8904    org.apache.http.entity.BufferedHttpEntity
310:            366     8784    sun.reflect.NativeConstructorAccessorImpl
311:            2       8224    com.alibaba.fastjson.util.IdentityHashMap$Entry[]
312:            325     7800    java.lang.Long
313:            321     7704    java.util.concurrent.CopyOnWriteArrayList
314:            95      7600    sun.security.x509.X509CertImpl
315:            186     7440    sun.nio.cs.UTF_8$Decoder
316:            131     7336    sun.nio.cs.UTF_8$Encoder
317:            112     7168    org.springframework.core.MethodParameter
318:            201     6968    sun.security.x509.RDN[]
319:            215     6880    org.apache.tomcat.util.modeler.ParameterInfo
320:            427     6832    sun.reflect.generics.tree.ClassTypeSignature
321:            213     6816    java.util.ResourceBundle$LoaderReference
322:            426     6816    java.util.Collections$UnmodifiableSet
323:            426     6816    java.util.HashMap$EntrySet
324:            212     6784    javax.management.MBeanParameterInfo
325:            212     6784    java.io.ByteArrayInputStream
326:            204     6528    java.util.Vector
327:            62      6448    org.springframework.beans.factory.support.GenericBeanDefinition
328:            400     6400    java.util.LinkedHashSet
329:            100     6400    java.text.DateFormatSymbols
330:            395     6320    sun.reflect.DelegatingConstructorAccessorImpl
331:            92      6312    javax.management.MBeanAttributeInfo[]
332:            98      6272    java.text.DecimalFormatSymbols
333:            196     6272    java.lang.invoke.LambdaForm$Name
334:            301     6224    sun.reflect.generics.tree.FieldTypeSignature[]
335:            383     6128    java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
336:            383     6128    java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
337:            383     6128    java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
338:            189     6048    sun.reflect.UnsafeObjectFieldAccessorImpl
339:            94      6016    java.text.SimpleDateFormat
340:            250     6000    java.lang.Class$AnnotationData
341:            149     5960    org.springframework.beans.factory.config.ConstructorArgumentValues$ValueHolder
342:            284     5952    org.apache.tomcat.util.modeler.ParameterInfo[]
